id,name,sex,ioc,age,ht,hand,rank,df_mean,1stIn_mean,2ndWon_mean,SvGms_mean,bpSaved_mean,bpFaced_mean,tot_games,winrate,ace_on_service(%),df_on_service(%),point_on_first_service(%),Hard_win(%),Clay_win(%),Grass_win(%),Carpet_win(%),Hard_los(%),Clay_los(%),Grass_los(%),Carpet_los(%),Best_Surface,Worste_Surface,tie_break_rate(%)
103819,Roger Federer,Male,SUI,36,185,R,2,1,42,14,11,2,3,145.0,81.38,10.05,2.28,77.72,60.0,4.83,16.55,0.0,11.72,3.45,3.45,0.0,Hard,Hard,29.66
106058,Jack Sock,Male,USA,25,185,R,9,3,44,15,11,3,5,165.0,58.18,7.65,4.8,72.52,47.88,9.09,1.21,0.0,32.73,7.27,1.82,0.0,Hard,Hard,24.85
105676,David Goffin,Male,BEL,26,182,R,8,2,42,14,11,3,6,247.0,60.73,7.0,3.82,71.63,42.91,14.57,3.24,0.0,27.53,9.72,2.02,0.0,Hard,Hard,19.43
106298,Lucas Pouille,Male,FRA,23,185,R,18,3,43,16,11,3,5,192.0,54.69,8.18,4.35,73.82,32.81,15.62,6.25,0.0,28.12,11.98,5.21,0.0,Hard,Hard,23.44
104542,Jo-Wilfried Tsonga,Male,FRA,32,188,R,15,2,42,14,11,2,4,149.0,63.09,10.04,3.23,78.77,49.66,11.41,2.01,0.0,24.83,9.4,2.68,0.0,Hard,Hard,29.53
206147,Sofia Luini,Female,ARG,28,177,R,1049,3,43,10,10,3,8,50.0,28.0,1.82,4.26,60.74,0.0,28.0,0.0,0.0,2.0,68.0,0.0,2.0,Clay,Clay,6.0
221187,Priska Madelyn Nugroho,Female,INA,18,177,R,1264,3,43,11,10,3,7,3.0,66.67,2.39,4.31,64.34,0.0,66.67,0.0,0.0,0.0,33.33,0.0,0.0,Clay,Clay,33.33
223360,Nikola Bartunkova,Female,CZE,15,177,R,882,3,43,11,10,3,7,9.0,55.56,2.23,4.29,63.31,0.0,55.56,0.0,0.0,0.0,44.44,0.0,0.0,Clay,Clay,0.0
221626,Linda Klimovicova,Female,CZE,17,177,U,1344,3,43,10,10,4,9,1.0,0.0,1.41,4.23,58.14,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,None,Clay,0.0
220580,Ludmila Kareisova,Female,CZE,19,177,U,1329,3,43,10,10,4,9,2.0,0.0,1.41,4.23,58.14,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,None,Clay,0.0
221137,Juliane Triebe,Female,GER,23,177,U,1388,3,43,10,10,4,9,1.0,0.0,1.41,4.23,58.14,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,None,Clay,0.0
206329,Montserrat Gonzalez,Female,PAR,26,177,R,794,3,43,11,10,3,7,149.0,56.38,2.25,4.82,63.32,21.48,34.9,0.0,0.0,14.09,28.19,1.34,0.0,Clay,Clay,10.74
214060,Yuliana Monroy,Female,COL,22,177,U,909,3,42,9,10,4,10,4.0,25.0,0.73,4.73,53.53,0.0,25.0,0.0,0.0,50.0,25.0,0.0,0.0,Clay,Hard,25.0
221240,Alexa Pitt,Female,USA,27,177,R,1127,3,43,10,10,3,8,12.0,33.33,1.9,4.27,61.24,0.0,33.33,0.0,0.0,0.0,66.67,0.0,0.0,Clay,Clay,0.0
220434,Kristyna Lavickova,Female,CZE,19,177,U,1046,3,43,11,10,3,7,3.0,66.67,2.39,4.31,64.34,66.67,0.0,0.0,0.0,33.33,0.0,0.0,0.0,Hard,Hard,0.0
211122,Charlotte Roemer,Female,ECU,27,177,R,717,2,42,10,9,3,7,78.0,46.15,2.09,4.23,62.52,6.41,39.74,0.0,0.0,10.26,43.59,0.0,0.0,Clay,Clay,10.26
222703,Ioana Zvonaru,Female,ROU,17,177,R,1354,3,43,11,10,3,7,6.0,50.0,2.14,4.29,62.79,50.0,0.0,0.0,0.0,33.33,16.67,0.0,0.0,Hard,Hard,16.67
220591,Arabella Koller,Female,AUT,20,177,U,1361,3,43,10,10,3,7,13.0,38.46,1.97,4.27,61.72,38.46,0.0,0.0,0.0,23.08,38.46,0.0,0.0,Hard,Clay,0.0
220053,Luisa Meyer Auf Der Heide,Female,GER,19,177,U,1184,3,43,11,10,3,7,6.0,66.67,2.39,4.31,64.34,0.0,66.67,0.0,0.0,0.0,33.33,0.0,0.0,Clay,Clay,0.0
